split,prediction_model,reconstruction_variant,diagnostic_name,failure_mode,n_failure,n_reference,failure_median,reference_median,median_delta,median_ratio,cliffs_delta
val,majority,pca@8,midprice_mae,incorrect_vs_correct,305,895,0.0253095477819442,0.0387074165046215,-0.0133978687226773,0.6538681748218031,-0.17040754647861525
val,majority,pca@8,midprice_mae,opposite_direction_vs_not,0,1200,,0.0363021399825811,,,
val,majority,pca@8,midprice_mae,low_confidence_vs_high_confidence,1200,1200,0.0363021399825811,0.0363021399825811,0.0,1.0,0.0
val,majority,pca@8,midprice_mae,non_neutral_missed_vs_detected,305,0,0.0253095477819442,,,,
val,majority,pca@8,top1_volume_sum_mae,incorrect_vs_correct,305,895,0.6797248721122742,0.6161352396011353,0.06358963251113892,1.1032072642887698,0.10147815734041579
val,majority,pca@8,top1_volume_sum_mae,opposite_direction_vs_not,0,1200,,0.6334055960178375,,,
val,majority,pca@8,top1_volume_sum_mae,low_confidence_vs_high_confidence,1200,1200,0.6334055960178375,0.6334055960178375,0.0,1.0,0.0
val,majority,pca@8,top1_volume_sum_mae,non_neutral_missed_vs_detected,305,0,0.6797248721122742,,,,
val,majority,pca@8,top5_volume_sum_mae,incorrect_vs_correct,305,895,1.2450344562530518,1.18385112285614,0.06118333339691184,1.0516816111550429,-0.035596666361388404
val,majority,pca@8,top5_volume_sum_mae,opposite_direction_vs_not,0,1200,,1.1932973265647888,,,
val,majority,pca@8,top5_volume_sum_mae,low_confidence_vs_high_confidence,1200,1200,1.1932973265647888,1.1932973265647888,0.0,1.0,0.0
val,majority,pca@8,top5_volume_sum_mae,non_neutral_missed_vs_detected,305,0,1.2450344562530518,,,,
val,majority,train_mean_window,normalized_mse,incorrect_vs_correct,305,895,1.0331279039382937,2.75258731842041,-1.7194594144821165,0.3753297477702399,-0.24038465060903014
val,majority,train_mean_window,normalized_mse,opposite_direction_vs_not,0,1200,,2.5948994159698486,,,
val,majority,train_mean_window,normalized_mse,low_confidence_vs_high_confidence,1200,1200,2.5948994159698486,2.5948994159698486,0.0,1.0,0.0
val,majority,train_mean_window,normalized_mse,non_neutral_missed_vs_detected,305,0,1.0331279039382937,,,,
val,majority,train_mean_window,top_of_book_mse,incorrect_vs_correct,305,895,1.63011372089386,2.231513500213623,-0.601399779319763,0.7304969119558583,-0.13047714992215403
val,majority,train_mean_window,top_of_book_mse,opposite_direction_vs_not,0,1200,,2.1383997201919556,,,
val,majority,train_mean_window,top_of_book_mse,low_confidence_vs_high_confidence,1200,1200,2.1383997201919556,2.1383997201919556,0.0,1.0,0.0
val,majority,train_mean_window,top_of_book_mse,non_neutral_missed_vs_detected,305,0,1.63011372089386,,,,
val,majority,train_mean_window,last_step_mse,incorrect_vs_correct,305,895,0.8259266018867493,2.712744235992432,-1.8868176341056828,0.30446165581275,-0.32697866104954665
val,majority,train_mean_window,last_step_mse,opposite_direction_vs_not,0,1200,,2.4544554948806763,,,
val,majority,train_mean_window,last_step_mse,low_confidence_vs_high_confidence,1200,1200,2.4544554948806763,2.4544554948806763,0.0,1.0,0.0
val,majority,train_mean_window,last_step_mse,non_neutral_missed_vs_detected,305,0,0.8259266018867493,,,,
val,majority,train_mean_window,midprice_mae,incorrect_vs_correct,305,895,0.1852646619081497,0.208099365234375,-0.02283470332622531,0.8902701923165052,-0.14591079769209633
val,majority,train_mean_window,midprice_mae,opposite_direction_vs_not,0,1200,,0.2043593972921371,,,
val,majority,train_mean_window,midprice_mae,low_confidence_vs_high_confidence,1200,1200,0.2043593972921371,0.2043593972921371,0.0,1.0,0.0
