split,prediction_model,reconstruction_variant,diagnostic_name,quantile_bin,n_samples,accuracy,macro_f1,balanced_accuracy,mcc,mean_confidence,mean_proba_true,opposite_direction_rate,directional_accuracy_non_neutral,true_down_count,true_neutral_count,true_up_count
val,logistic_regression,mlp_ae@32,midprice_mae,Q1,300,0.6733333333333333,0.4959948320413437,0.4969207579672696,0.2693268926553608,0.8970681268534823,0.6437546130634688,0.16470588235294117,0.3411764705882353,40,215,45
val,logistic_regression,mlp_ae@32,midprice_mae,Q2,300,0.6333333333333333,0.48649563389261474,0.48666666666666675,0.2642923992673951,0.9187532083754064,0.615319876336103,0.21,0.34,50,200,50
val,logistic_regression,mlp_ae@32,midprice_mae,Q3,300,0.66,0.4860674685488306,0.5179370840895342,0.2322129784274195,0.9319110179329468,0.6531086871955509,0.10294117647058823,0.4117647058823529,30,232,38
val,logistic_regression,mlp_ae@32,midprice_mae,Q4,300,0.6866666666666666,0.44004986753934866,0.49315156169994884,0.17928984582785704,0.9411319043704898,0.6964055427968403,0.1346153846153846,0.3269230769230769,21,248,31
val,logistic_regression,mlp_ae@32,top1_volume_sum_mae,Q1,300,0.6833333333333333,0.4873915083274689,0.4839964695949335,0.2543451801733857,0.9032701641421047,0.6550560550569087,0.14634146341463414,0.3170731707317073,43,218,39
val,logistic_regression,mlp_ae@32,top1_volume_sum_mae,Q2,300,0.64,0.46697709473216814,0.490546218487395,0.23971135113759381,0.9121203998044201,0.6317814828374525,0.2236842105263158,0.3684210526315789,34,224,42
val,logistic_regression,mlp_ae@32,top1_volume_sum_mae,Q3,300,0.6566666666666666,0.5193258571899348,0.5403905570387257,0.3009059544264055,0.9268286171822908,0.6477708256531111,0.18181818181818182,0.42045454545454547,37,212,51
val,logistic_regression,mlp_ae@32,top1_volume_sum_mae,Q4,300,0.6733333333333333,0.4320746964826045,0.4522517417140515,0.13725637047359937,0.9466450764035098,0.673980355844491,0.06779661016949153,0.288135593220339,27,241,32
val,logistic_regression,mlp_ae@64,normalized_mse,Q1,300,0.7033333333333334,0.4741930590089662,0.4669486215538847,0.24357138545815332,0.8958576141871788,0.6713564742871914,0.15789473684210525,0.27631578947368424,38,224,38
val,logistic_regression,mlp_ae@64,normalized_mse,Q2,300,0.7033333333333334,0.5531609566903685,0.5664972820685662,0.35112450041098997,0.9254569453374867,0.6831036886797605,0.1411764705882353,0.43529411764705883,39,215,46
val,logistic_regression,mlp_ae@64,normalized_mse,Q3,300,0.62,0.37839410165685927,0.3850522479023917,0.08740877248652788,0.9348959629070817,0.6246109009709012,0.16901408450704225,0.19718309859154928,30,229,41
val,logistic_regression,mlp_ae@64,normalized_mse,Q4,300,0.6266666666666667,0.4993624063615186,0.5547748298460918,0.27753357120877115,0.9326537351005785,0.6295176554541101,0.1780821917808219,0.4931506849315068,34,227,39
val,logistic_regression,mlp_ae@64,top_of_book_mse,Q1,300,0.6666666666666666,0.48701538417850476,0.5000151292339161,0.25022947362047243,0.8900551476536473,0.6425001686704594,0.15584415584415584,0.36363636363636365,38,223,39
val,logistic_regression,mlp_ae@64,top_of_book_mse,Q2,300,0.71,0.49760136832097296,0.4946706887883358,0.30094740770364026,0.9329556908812875,0.6857961422105047,0.21518987341772153,0.31645569620253167,40,221,39
val,logistic_regression,mlp_ae@64,top_of_book_mse,Q3,300,0.6533333333333333,0.49354246830743614,0.514387276332859,0.2520830866471479,0.9312626043686013,0.6513197459966777,0.13580246913580246,0.38271604938271603,34,219,47
val,logistic_regression,mlp_ae@64,top_of_book_mse,Q4,300,0.6233333333333333,0.44621918430057966,0.47763778367226645,0.16914043218824304,0.934590814628789,0.6289726625143214,0.1323529411764706,0.35294117647058826,29,232,39
val,logistic_regression,mlp_ae@64,last_step_mse,Q1,300,0.7233333333333334,0.5214150638808173,0.5309367934592697,0.320521998452208,0.8983691257355948,0.697232752574971,0.18309859154929578,0.38028169014084506,34,229,37
val,logistic_regression,mlp_ae@64,last_step_mse,Q2,300,0.59,0.4635669242748098,0.4638607737291948,0.21402464638294919,0.914376979606393,0.5730527494850465,0.19047619047619047,0.3333333333333333,48,195,57
val,logistic_regression,mlp_ae@64,last_step_mse,Q3,300,0.69,0.4449370086198731,0.46676487093153757,0.20235670936187855,0.9396859035134971,0.6823850179547437,0.18333333333333332,0.3,27,240,33
val,logistic_regression,mlp_ae@64,last_step_mse,Q4,300,0.65,0.4872789407040948,0.518571331071331,0.21220141258928354,0.9364322486768405,0.655918199377202,0.07246376811594203,0.4057971014492754,32,231,37
val,logistic_regression,mlp_ae@64,midprice_mae,Q1,300,0.68,0.46925121080328475,0.46341391112189073,0.23481593249471272,0.9000955900761684,0.6503454291344624,0.1566265060240964,0.27710843373493976,38,217,45
val,logistic_regression,mlp_ae@64,midprice_mae,Q2,300,0.6333333333333333,0.5075453646882219,0.5222222222222223,0.3060270079444911,0.9144030487815709,0.6205476667877516,0.2604166666666667,0.4166666666666667,51,204,45
val,logistic_regression,mlp_ae@64,midprice_mae,Q3,300,0.65,0.4752505116750558,0.49574074074074076,0.19126402655241598,0.9431373892183713,0.6378571307625496,0.08,0.3466666666666667,27,225,48
val,logistic_regression,mlp_ae@64,midprice_mae,Q4,300,0.69,0.4551077275215207,0.5014169498506847,0.19547797652518398,0.931228229456215,0.6998384927071994,0.09803921568627451,0.37254901960784315,25,249,26
val,logistic_regression,mlp_ae@64,top1_volume_sum_mae,Q1,300,0.6333333333333333,0.4714311150301416,0.47223003729593643,0.22762454836288995,0.8940779330176621,0.6105145988308939,0.15789473684210525,0.3157894736842105,46,205,49
val,logistic_regression,mlp_ae@64,top1_volume_sum_mae,Q2,300,0.6633333333333333,0.45154380182509574,0.4771865369346091,0.22418676550772226,0.9250987105955547,0.6504883948187563,0.23076923076923078,0.3384615384615385,31,235,34
val,logistic_regression,mlp_ae@64,top1_volume_sum_mae,Q3,300,0.7233333333333334,0.5564374375552198,0.5767195767195766,0.3292453127875764,0.9356516434871673,0.7066457121349626,0.07246376811594203,0.463768115942029,33,231,36
val,logistic_regression,mlp_ae@64,top1_volume_sum_mae,Q4,300,0.6333333333333333,0.44552349993227686,0.4649449564772145,0.19100257638873272,0.9340359704319415,0.6409400136073505,0.18421052631578946,0.3157894736842105,31,224,45
val,logistic_regression,pca@128,normalized_mse,Q1,300,0.83,0.4100371722491538,0.3979461751124749,0.10100815970400068,0.9247559486388095,0.7954437693659288,0.0,0.13513513513513514,18,263,19
val,logistic_regression,pca@128,normalized_mse,Q2,300,0.7233333333333334,0.5121045857887964,0.5237551233101845,0.2993774650152472,0.9087967076831874,0.7043787098895911,0.16176470588235295,0.36764705882352944,31,232,37
val,logistic_regression,pca@128,normalized_mse,Q3,300,0.5433333333333333,0.40256734006734,0.43038936372269704,0.11258134078495068,0.9270460443613634,0.5460321746016898,0.15476190476190477,0.32142857142857145,39,216,45
val,logistic_regression,pca@128,normalized_mse,Q4,300,0.5566666666666666,0.4901493930905696,0.5049437695048852,0.24881609706444874,0.9282655568489653,0.5627340655347534,0.21551724137931033,0.4396551724137931,53,184,63
val,logistic_regression,pca@128,top_of_book_mse,Q1,300,0.75,0.4226825191885748,0.422362548884288,0.15126024085231607,0.898721336651169,0.7202240586032127,0.125,0.20833333333333334,23,252,25
val,logistic_regression,pca@128,top_of_book_mse,Q2,300,0.7166666666666667,0.5296101128948816,0.5424181082075819,0.31759370330744,0.9253665749554407,0.6960332453469409,0.125,0.4166666666666667,39,228,33
val,logistic_regression,pca@128,top_of_book_mse,Q3,300,0.6166666666666667,0.4454224787558121,0.4631313131313131,0.18034188059334894,0.9278314212492836,0.6153559903734752,0.1625,0.325,32,220,48
val,logistic_regression,pca@128,top_of_book_mse,Q4,300,0.57,0.47514863067480734,0.4901386458980002,0.22637203696401545,0.9369449246764318,0.5769754250683343,0.2,0.4,47,195,58
val,logistic_regression,pca@128,last_step_mse,Q1,300,0.78,0.4005029349900604,0.42411616161616167,0.13678540420761667,0.8983277412517513,0.7620914798869615,0.1388888888888889,0.19444444444444445,16,264,20
val,logistic_regression,pca@128,last_step_mse,Q2,300,0.6966666666666667,0.43701383771391145,0.4541373926619828,0.1580164831542651,0.9266100389629923,0.6776893960634996,0.08928571428571429,0.2857142857142857,28,244,28
val,logistic_regression,pca@128,last_step_mse,Q3,300,0.64,0.49286007506450863,0.4993357487922705,0.2660958117619713,0.9282801548039356,0.6348549806592129,0.1935483870967742,0.3655913978494624,48,207,45
val,logistic_regression,pca@128,last_step_mse,Q4,300,0.5366666666666666,0.47919803253830934,0.5000532294294869,0.21641777498812384,0.9356463225136461,0.5339528627822893,0.175,0.425,49,180,71
val,logistic_regression,pca@128,midprice_mae,Q1,300,0.7366666666666667,0.45858664176167574,0.4554755986291255,0.2025470219410258,0.9044969541030192,0.7089499297704901,0.11864406779661017,0.2542372881355932,33,241,26
val,logistic_regression,pca@128,midprice_mae,Q2,300,0.6266666666666667,0.5007527773225229,0.5258629200846502,0.2724189815754901,0.9173056506824355,0.6072415149298986,0.1717171717171717,0.3838383838383838,38,201,61
val,logistic_regression,pca@128,midprice_mae,Q3,300,0.66,0.44500047209895194,0.46602595099935523,0.19275158347259339,0.9423575926763609,0.656349710791809,0.16923076923076924,0.3230769230769231,32,235,33
