model,model_variant,latent_dim,split,level,side,field_type,normalized_mse,normalized_mae,original_mae
mlp_ae,mlp_ae@16,16.0,test,9,bid,price,0.0315537638962268,0.1427775770425796,0.0564063377678394
mlp_ae,mlp_ae@16,16.0,test,9,ask,price,0.0279478952288627,0.1329307556152343,0.0534922033548355
mlp_ae,mlp_ae@16,16.0,test,9,bid,volume,2.170319080352783,1.3264614343643188,0.6496865153312683
mlp_ae,mlp_ae@16,16.0,test,9,ask,volume,1.3302947282791138,0.9028253555297852,0.4079293608665466
mlp_ae,mlp_ae@16,16.0,test,10,bid,price,0.0268489625304937,0.1350185722112655,0.0532837249338626
mlp_ae,mlp_ae@16,16.0,test,10,ask,price,0.0263749007135629,0.1263378113508224,0.0508935637772083
mlp_ae,mlp_ae@16,16.0,test,10,bid,volume,3.559642553329468,1.7061713933944702,0.721923828125
mlp_ae,mlp_ae@16,16.0,test,10,ask,volume,2.195854902267456,1.1540285348892212,0.4157963395118713
mlp_ae,mlp_ae@32,32.0,train,1,bid,price,0.8022510409355164,0.128595694899559,0.0115817002952098
mlp_ae,mlp_ae@32,32.0,train,1,ask,price,0.8012844324111938,0.1282248347997665,0.0115628484636545
mlp_ae,mlp_ae@32,32.0,train,1,bid,volume,0.2952248454093933,0.2971199154853821,0.3992970287799835
mlp_ae,mlp_ae@32,32.0,train,1,ask,volume,0.394461989402771,0.47121661901474,0.1575818359851837
mlp_ae,mlp_ae@32,32.0,train,2,bid,price,0.0639145970344543,0.0874184519052505,0.0348000861704349
mlp_ae,mlp_ae@32,32.0,train,2,ask,price,0.0640710592269897,0.0885670334100723,0.0353729985654354
mlp_ae,mlp_ae@32,32.0,train,2,bid,volume,0.1568595916032791,0.2425005584955215,0.440725564956665
mlp_ae,mlp_ae@32,32.0,train,2,ask,volume,0.3443047702312469,0.3887630701065063,0.1103814095258712
mlp_ae,mlp_ae@32,32.0,train,3,bid,price,0.0643618330359458,0.0877605453133583,0.0348984450101852
mlp_ae,mlp_ae@32,32.0,train,3,ask,price,0.0643016248941421,0.0878667309880256,0.0351311676204204
mlp_ae,mlp_ae@32,32.0,train,3,bid,volume,0.1140604391694068,0.2145214825868606,0.3819513320922851
