run_id,split_protocol,seed,model_family,model_or_variant,feature_source,input_dim,latent_dim,compression_ratio,selection_basis,uses_validation_for_selection,uses_test_for_selection,is_oracle_reference,test_accuracy,test_balanced_accuracy,test_macro_f1,test_mcc,test_log_loss,test_opposite_direction_rate,n_train,n_val,n_test,delta_macro_f1_vs_raw_tuned_within_run,delta_mcc_vs_raw_tuned_within_run,delta_macro_f1_vs_majority_within_run
random_block_purged_seed43,random_block_purged,43,frozen_latent_head,reconstruction_best_latent_head,frozen_reconstruction_latent,128,128.0,31.25,reconstruction_best_test_normalized_mse:pca@128,False,True,True,0.4636459430979979,0.40499136223788207,0.3677046187687405,0.08816416275913927,1.0525377510543634,0.23684210526315788,5779,924,949,-0.02338030883352138,-0.041804959348789944,0.08870135079488428
random_block_purged_seed43,random_block_purged,43,frozen_latent_head,validation_selected_latent_head,frozen_reconstruction_latent,40,40.0,100.0,validation_macro_f1_tie_mcc_log_loss_latent_dim_lexical:last_snapshot_repeat@40,True,False,False,0.458377239199157,0.5402771177120925,0.42412535412899977,0.2134396792587645,0.9936541109590306,0.15789473684210525,5779,924,949,0.03304042652673789,0.08347055715083529,0.14512208615514355
random_block_purged_seed43,random_block_purged,43,frozen_latent_head,test_posthoc_best_latent_head,frozen_reconstruction_latent,40,40.0,100.0,posthoc_best_test_macro_f1:last_snapshot_repeat@40,False,True,True,0.458377239199157,0.5402771177120925,0.42412535412899977,0.2134396792587645,0.9936541109590306,0.15789473684210525,5779,924,949,0.03304042652673789,0.08347055715083529,0.14512208615514355
random_window_naive_seed44,random_window_naive,44,baseline,majority,raw_window_flattened,4000,,,train_majority_class,False,False,False,0.6875,0.3333333333333333,0.2716049382716049,0.0,0.8390530705608401,0.0,5600,1200,1152,-0.1743617701629706,-0.2192180254918252,0.0
random_window_naive_seed44,random_window_naive,44,raw_window_logistic,raw_window_logistic_untuned,raw_window_flattened,4000,,,fixed_C_1,False,False,False,0.5,0.5106870506870507,0.44596670843457553,0.2192180254918252,0.9974572019975148,0.225,5600,1200,1152,0.0,0.0,0.1743617701629706
random_window_naive_seed44,random_window_naive,44,raw_window_logistic,raw_window_logistic_tuned,raw_window_flattened,4000,,,validation_macro_f1_tie_mcc_log_loss_C=1,True,False,False,0.5,0.5106870506870507,0.44596670843457553,0.2192180254918252,0.9974572019975148,0.225,5600,1200,1152,0.0,0.0,0.1743617701629706
random_window_naive_seed44,random_window_naive,44,raw_window_logistic,raw_window_logistic_test_oracle,raw_window_flattened,4000,,,test_macro_f1_oracle_C=10,False,True,True,0.5,0.5106870506870507,0.44596670843457553,0.2192180254918252,0.9974566013893451,0.225,5600,1200,1152,0.0,0.0,0.1743617701629706
random_window_naive_seed44,random_window_naive,44,frozen_latent_head,reconstruction_best_latent_head,frozen_reconstruction_latent,128,128.0,31.25,reconstruction_best_test_normalized_mse:pca@128,False,True,True,0.4826388888888889,0.43592456092456094,0.4002048544951217,0.16310169192857066,1.0233315184892045,0.3416666666666667,5600,1200,1152,-0.04576185393945381,-0.056116333563254545,0.1285999162235168
random_window_naive_seed44,random_window_naive,44,frozen_latent_head,validation_selected_latent_head,frozen_reconstruction_latent,40,40.0,100.0,validation_macro_f1_tie_mcc_log_loss_latent_dim_lexical:last_snapshot_repeat@40,True,False,False,0.5217013888888888,0.5948279448279449,0.4900375936139079,0.31079700035772023,0.9454792494829436,0.19722222222222222,5600,1200,1152,0.044070885179332386,0.09157897486589503,0.218432655342303
random_window_naive_seed44,random_window_naive,44,frozen_latent_head,test_posthoc_best_latent_head,frozen_reconstruction_latent,40,40.0,100.0,posthoc_best_test_macro_f1:last_snapshot_repeat@40,False,True,True,0.5217013888888888,0.5948279448279449,0.4900375936139079,0.31079700035772023,0.9454792494829436,0.19722222222222222,5600,1200,1152,0.044070885179332386,0.09157897486589503,0.218432655342303
